[2026-04-27 19:57:26] ======================================================================
[2026-04-27 19:57:26] RLD-Engine Start: Recursive Log-Decomposition
[2026-04-27 19:57:26] G-List: [16, 17, 18, 19, 20, 25, 30, 50, 100, 999, 1500], Log-Mode Output: false
[2026-04-27 19:57:26] ======================================================================
[2026-04-27 19:57:26] >>> Starting Global Loop [1 / 5]
[2026-04-27 19:57:26]     (Loop 1, g=16) Result: -8.202263e+05 + -7.667577e+05i, Time: 0.1660s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=17) Result: -3.404676e+06 + -1.531759e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=18) Result: -9.147318e+06 + 5.413206e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=19) Result: 1.147429e+07 + 2.449141e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=20) Result: 4.539811e+07 + 3.619733e+07i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=25) Result: 3.094596e+10 + 1.197923e+10i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=30) Result: 4.608697e+12 + 4.041819e+12i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=50) Result: 7.866568e+22 + 2.858229e+22i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=100) Result: -2.683708e+50 + -4.566250e+50i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=999) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1028.679681 + -7.509302i, Time: 0.0330s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 1, g=1500) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1567.641724 + 57.750730i, Time: 0.1190s, LogErr: N/A
[2026-04-27 19:57:27] >>> Starting Global Loop [2 / 5]
[2026-04-27 19:57:27]     (Loop 2, g=16) Result: -2.313692e+06 + -6.094743e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=17) Result: 1.015999e+06 + 1.640753e+06i, Time: 0.0000s, LogErr: N/A
